species,hses_code,year,aimag_mn,livestock
Адуу,46,2008,Өмнөговь,53
Адуу,46,2009,Өмнөговь,53.7
Адуу,46,2010,Өмнөговь,37.6
Адуу,46,2011,Өмнөговь,43.4
Адуу,46,2012,Өмнөговь,50.1
Адуу,46,2013,Өмнөговь,58.2
Адуу,46,2014,Өмнөговь,66.3
Адуу,46,2015,Өмнөговь,74.2
Адуу,46,2016,Өмнөговь,85.3
Адуу,46,2017,Өмнөговь,98.7
Адуу,46,2018,Өмнөговь,96.5
Адуу,46,2019,Өмнөговь,109.5
Адуу,46,2020,Өмнөговь,110.4
Адуу,46,2021,Өмнөговь,102
Адуу,46,2022,Өмнөговь,112.5
Адуу,46,2023,Өмнөговь,92.7
Адуу,46,2024,Өмнөговь,84.9
Адуу,48,1970,Дундговь,180.3
Адуу,48,1971,Дундговь,159
Адуу,48,1972,Дундговь,167
Адуу,48,1973,Дундговь,163.2
Адуу,48,1974,Дундговь,185.2
Адуу,48,1975,Дундговь,182.9
Адуу,48,1976,Дундговь,179.8
Адуу,48,1977,Дундговь,159.8
Адуу,48,1978,Дундговь,158
Адуу,48,1979,Дундговь,155.2
Адуу,48,1980,Дундговь,142.9
Адуу,48,1981,Дундговь,122.8
Адуу,48,1982,Дундговь,131.3
Адуу,48,1983,Дундговь,130
Адуу,48,1984,Дундговь,126.1
Адуу,48,1985,Дундговь,126
Адуу,48,1986,Дундговь,132
Адуу,48,1987,Дундговь,127.3
Адуу,48,1988,Дундговь,132.4
Адуу,48,1989,Дундговь,144.9
Адуу,48,1990,Дундговь,152
Адуу,48,1991,Дундговь,155.3
Адуу,48,1992,Дундговь,148.3
Адуу,48,1993,Дундговь,131.9
Адуу,48,1994,Дундговь,141.2
Адуу,48,1995,Дундговь,163.8
Адуу,48,1996,Дундговь,182.4
Адуу,48,1997,Дундговь,195.8
Адуу,48,1998,Дундговь,218
Адуу,48,1999,Дундговь,216.8
Адуу,48,2000,Дундговь,113.2
Адуу,48,2001,Дундговь,112
